backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03420
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27775
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00060
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00469
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04028
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26776
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00054
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00398
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03562
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.28840
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00061
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00465
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03986
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.77381
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00058
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00446
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03909
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.26739
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00052
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00401
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03577
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.28288
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00061
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00462
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03678
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27005
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00063
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00505
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.04166
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.27163
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00053
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00399
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03377
myGEMM.cl, 1, 4,-cl-std=CL1.2,2048,0.28922
myGEMM.cl, 1, 4,-cl-std=CL1.2,256,0.00058
myGEMM.cl, 1, 4,-cl-std=CL1.2,512,0.00448
myGEMM.cl, 1, 4,-cl-std=CL1.2,1024,0.03770
